ra,dec,source_id,l,b,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,radial_velocity,radial_velocity_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,phot_g_n_obs,phot_g_mean_mag,bp_rp,proba,cluster,teff50
0.6967742423764379,-29.680575449589256,2320875467765417984,16.661393637442202,-79.0073522066442,4.33914054540098,0.0939600042152007,18.991960761424778,0.13434958114622383,2.7234197229275807,0.11671527304634831,,,0.03167274,0.32044026,0.40598834,-0.122621916,-0.2068721,0.025393639,0.35210854,-0.10598141,-0.4205864,0.16926454,263,16.291937,2.6000013,1.0,Blanco_1,3299.1213
0.9235554765939996,-29.715157773456507,2320876601636825984,16.28813460862626,-79.19449338034566,4.44088354978205,0.11647300186955145,18.29394192718225,0.17444373645302047,2.7670454620475167,0.18545869373078805,,,0.11738032,0.38747275,0.2964744,-0.0319835,-0.10959866,0.04895339,0.2716639,0.025451826,-0.20536943,0.24592023,272,17.558525,2.8119888,0.9,Blanco_1,3103.228
0.8385613417410899,-29.704727676011487,2320877151392638720,16.416556004143573,-79.12395983871325,4.121106286312843,0.09435919420642966,19.345390797377235,0.14245592367421164,2.9207921423201055,0.12058925051965201,,,0.079460435,0.36314878,0.32490078,-0.07168194,-0.09918944,0.028352728,0.21529564,0.048918147,-0.29071808,0.13500537,269,16.928099,2.6363935,1.0,Blanco_1,3264.889
0.8901282542826771,-29.71695717660149,2320877215815958272,16.308039017503113,-79.16564736715249,4.175711264051143,0.1289113443798183,18.529229643127174,0.18911940648505962,2.561299347494518,0.20029910905843343,,,0.16760173,0.41456676,0.33837658,-0.023550501,-0.03453684,0.05747799,0.27237496,0.028396549,-0.18445085,0.24860765,261,17.403652,2.7886543,1.0,Blanco_1,3233.2065
0.8829631639466166,-29.717977859096802,2320877220112116224,16.308970811462416,-79.15934390781351,4.140526250516805,0.03393958545365937,19.121550020616283,0.060178268379484964,3.5045695068664724,0.051201178483213684,,,0.15817629,0.2831454,0.28609595,-0.018093506,0.028287785,0.041625626,0.17751938,0.036722507,-0.21309927,0.16507381,222,10.053291,0.53410816,1.0,Blanco_1,6607.845
0.975313905779078,-29.65314474690457,2320878628861388928,16.568721375868495,-79.25030193982879,4.179525753242376,0.022771892560246115,19.633993762098065,0.037828537366954275,1.8517904156968705,0.03252543638687983,,,0.06086442,0.34594086,0.3773313,-0.03998961,-0.11871961,0.024954878,0.3083654,0.02611555,-0.1974116,0.18473409,290,13.786061,1.3944378,1.0,Blanco_1,4772.5093
0.9134594417569715,-29.674548780080915,2320878899443164928,16.50966632785615,-79.19351262837006,3.9965220854816708,0.12660560913421262,18.881648293768954,0.18354778528145418,2.305926641746816,0.24089918484871767,,,0.2712584,0.4621011,0.34653625,0.13739347,0.076607235,0.19597478,0.4835258,0.1142947,-0.012383029,0.36137912,252,17.648458,2.9483871,1.0,Blanco_1,3065.29
0.7252027062161136,-29.67370873239975,2320881304624851968,16.67328560314841,-79.03288817662344,4.5056412966020405,0.18267455548457875,19.152972549528542,0.20745145190581027,2.0111177258786834,0.2703160174425281,,,0.084669374,0.3938623,0.29243562,-0.0474182,-0.4131646,0.22126138,0.57367766,-0.12622282,-0.49156964,0.34686166,267,17.864912,2.9120884,1.0,Blanco_1,3122.2778
0.7130554845638468,-29.662678720034545,2320881377640416640,16.74032617411917,-79.02450525503716,4.18770262271067,0.031783280951320346,19.36449769943286,0.04256307052757269,2.239362279303494,0.03671018799491851,,,0.04161414,0.37794113,0.28460956,-0.13946751,-0.21377286,0.047000416,0.3069208,-0.0102392435,-0.47571036,0.13654897,273,14.280739,1.5587654,1.0,Blanco_1,4455.518
0.7980618319092035,-29.599150976526488,2320881991820717056,17.00028576391599,-79.10855537930205,3.9584237415857357,0.11802141596064085,18.798804987096727,0.18361754552832407,3.309880944736357,0.15223320487458364,,,0.08747121,0.36062557,0.25473654,-0.07848434,-0.109295726,0.012645609,0.20623806,0.051736128,-0.27167404,0.13760298,272,17.207367,2.6561031,1.0,Blanco_1,3271.558
0.8679136018856903,-29.614272395796494,2320882438497310720,16.86389084277676,-79.16561901613389,4.183884580384536,0.08574303515944846,18.667510023365196,0.1415764322650563,2.2971244260959347,0.12468575325222926,,,0.120986454,0.3546228,0.36853942,-0.007877909,-0.028163385,0.06933182,0.3431505,0.016030708,-0.20432675,0.18636324,259,16.539001,2.7780142,1.0,Blanco_1,3149.6152
0.8326644362247113,-29.609042349665184,2320883233066327552,16.92038472669167,-79.13640552802214,4.2985689294605685,0.14648442182325427,19.126174408574585,0.22966070524697924,2.410499979601878,0.18415385700183914,,,0.06097512,0.31121993,0.40287197,-0.059382036,-0.07299372,0.03685159,0.27202177,0.017896319,-0.32176962,0.117116734,287,17.75478,2.9984493,1.0,Blanco_1,3058.198
0.5487769003149403,-29.694281713359263,2320886222363524992,16.712177171450872,-78.87841979864056,4.19822288402338,0.04046126803979306,18.89661119409326,0.08426628805497662,2.518816190678465,0.05369249850237952,5.881618200340464,0.5855969315360657,-0.10984602,0.06810164,0.64047277,-0.093205094,-0.122030325,-0.06073236,0.52493405,-0.24766412,-0.3771942,0.083432086,269,11.728803,0.82741356,1.0,Blanco_1,5879.249
0.5584464526300852,-29.656386714578343,2320887936054365696,16.897866577058448,-78.89343317156748,4.406415235127669,0.12791746717943475,18.121134325889507,0.17062211946638756,2.397461914209127,0.16820428217762728,,,-0.054592997,0.4460115,0.37978798,-0.12953997,-0.2303716,0.05868961,0.4952314,-0.052689254,-0.37078267,0.17126317,271,17.418793,2.716505,1.0,Blanco_1,3188.0962
0.47925953231560703,-29.695285792472248,2320888902423048576,16.762905574998342,-78.81882552215167,4.045498851644301,0.1403852067636215,18.99861188204365,0.2658982006444784,3.4883772466149137,0.2147747524540737,,,-0.049786106,0.30916214,0.18727869,-0.019732896,-0.22738643,0.09186128,0.36964843,-0.076856345,-0.26123032,0.105612695,247,17.512363,2.831789,0.9,Blanco_1,3162.4097
